freq,citizen,age,unit,sex,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,EU28_FOR,TOTAL,NR,M,LU	114241 	118002 	124907 b	127220 	128270 	129519 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,M,LV	4027 	3653 	3661 	3792 	3946 	4112 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,M,MT	9648 	11949 	14924 	20324 	23883 	26498 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,M,NL	214071 	228033 	243442 	262329 	284798 	311086 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,M,NO	194308 	202307 	204138 	205838 	209050 	: 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,M,PL	20573 p	17046 ep	20123 ep	21470 ep	22824 	26892 ep	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,M,PT	52412 	54992 	61919 	72423 	84432 	95904 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,M,RO	26366 	37479 	40799 	42452 	44266 	45109 e	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,M,SE	156983 	162141 	166769 	171943 	174635 	174637 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,M,SI	10926 	11122 	11882 	12348 	12992 	13458 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,M,SK	30297 	32508 	34580 	36142 	37634 	38908 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,M,TR	62897 	68243 	70559 	65984 	71155 	83476 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,M,UK	1410852 	1523625 	1755932 	1851747 	1780336 	: 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,AT	570298 	616401 	655524 	693855 	730209 	768597 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,BE	852284 	875878 	890388 	902706 	920865 	939965 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,CH	1322845 	1357557 	1382859 	1397013 	1411744 	1430197 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,CY	106357 	109127 	110646 	114536 	117800 	118801 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,CZ	184330 	195438 	208262 	219350 	232511 	245000 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,DE	3475492 b	3801044 	3985165 	4205194 	4383694 	4454418 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,DK	173195 	189375 	202386 	213465 	224578 	230445 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,EE	14335 b	15372 	16456 	18890 	20891 	20883 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,EL	198723 	206664 	205221 	211155 	213170 	191118 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,ES	1894306 	1863822 	1844798 	1835066 	1854585 	1894302 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,FI	90178 	94202 	97211 	98212 	99757 	101072 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,FR	1499227 	1523719 	1556630 	1569691 	1577031 	1573670 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,HR	6981 	7094 	7047 	6926 	6636 	6470 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,HU	80758 	85143 	79325 	77998 	74266 	81060 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,IE	412612 	417984 	423256 	423216 	429214 	432671 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,IS	19795 	21827 	25150 	31949 	37511 	41626 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,IT	1396081 	1463710 	1476584 	1489173 	1500704 b	1504521 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,LI	6549 	6688 	6739 	6846 	6920 	7005 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,LT	2410 	2050 	1707 	1459 	1439 	1458 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,LU	222192 	229506 	240290 b	244400 	246053 	247878 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,LV	6805 	5974 	5937 	6192 	6433 	6590 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,MT	18438 	22827 	28227 	38875 	43141 	48258 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,NL	430934 	458705 	489119 	525626 	567724 	616632 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,NO	327921 	343085 	348547 	353045 	360071 	: 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,PL	29962 p	25091 ep	29447 ep	30098 ep	31644 	36598 ep	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,PT	99706 	104710 	117615 	136337 	158355 	179377 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,RO	33803 	48030 	53542 	56732 	60265 	63591 e	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,SE	295968 	303988 	310518 	318263 	321964 	322324 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,SI	17165 	17597 	18720 	19540 	20700 	21523 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,SK	47202 	50440 	53511 	55949 	58308 	60311 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,TR	132712 	143956 	148223 	138494 	148724 	172989 	: 	: 	: 	: 
A,EU28_FOR,TOTAL,NR,T,UK	2986526 	3204116 	3627914 	3860237 	3681859 	: 	: 	: 	: 	: 
A,NAT,TOTAL,NR,F,AT	3818840 	3812853 	3809500 	3803960 	3798472 	3793909 	3785435 	3779283 	3768901 	3759205 
A,NAT,TOTAL,NR,F,BE	5087521 	5093067 	5101539 	5111103 	5118396 	5129749 	5130103 	5141813 	5151568 	5166285 
A,NAT,TOTAL,NR,F,BG	3588456 	3540948 	3496277 	3448925 	3399956 	3349366 	3328331 	3331528 	3307891 	3290231 
A,NAT,TOTAL,NR,F,CH	3225369 	3243134 	3261194 	3279200 	3296630 	3311802 	3323850 	3340015 	3351137 	3362792 
A,NAT,TOTAL,NR,F,CY	352114 	355357 	358511 	361499 	362959 	366162 	368987 	370963 	369347 b	371694 
A,NAT,TOTAL,NR,F,CZ	5164821 	5162453 	5157768 	5166723 	5165918 	5172487 	5102229 b	5092639 	5089449 	5080495 
A,NAT,TOTAL,NR,F,DE	37702521 b	37613748 	37514010 	37417038 	37317231 	37228015 	37120239 	36999286 	36678390 b	36524287 
A,NAT,TOTAL,NR,F,DK	2637096 	2640008 	2649782 	2655613 	2657991 	2660442 	2668057 	2673313 	2673510 	2673779 
A,NAT,TOTAL,NR,F,EE	603207 b	602421 	602477 	602662 	603557 	604324 	604049 	603138 	602516 	601620 
A,NAT,TOTAL,NR,F,EL	5155430 	5133024 	5120721 	5108578 	5093376 	5043395 	5016283 	4976505 b	4941491 	4938021 
A,NAT,TOTAL,NR,F,ES	21423187 	21439750 	21487084 	21481810 	21486980 	21496278 	21463559 	21459130 	21473559 	21544520 
A,NAT,TOTAL,NR,F,EU27_2020	212303180 be	212003493 e	211817250 be	211400064 e	211098841 b	210755137 e	209726418 bep	209531482 ep	208889664 bep	208446186 ep
A,NAT,TOTAL,NR,F,FI	2676792 	2678405 	2678630 	2679838 	2677177 	2675430 	2673727 	2671910 	2665908 	2660906 
A,NAT,TOTAL,NR,F,FR	32080080 	32126018 	32201449 	32135712 	32217067 	32236839 	32291426 	32379018 	32365110 p	32241575 p
A,NAT,TOTAL,NR,F,HR	2156063 	2132700 	2108786 	2078020 	2052396 	2029346 	2006447 	1984179 b	1960153 	1942305 
A,NAT,TOTAL,NR,F,HU	5064217 	5032262 	5010103 	4986001 	4964253 	4942592 	4922213 	4894579 	4874759 	4852518 
A,NAT,TOTAL,NR,F,IE	2096566 	2113540 	2140010 	2158148 	2187792 	2209973 	2233904 	2274553 	2280509 	2289258 
A,NAT,TOTAL,NR,F,IS	152218 	152777 	153732 	154921 	155871 	156863 	158091 	159907 	160376 	159434 
A,NAT,TOTAL,NR,F,IT	28502891 	28416843 	28353665 	28236011 	28103605 b	27983433 	27722737 	27648663 	27558567 	27473494 
A,NAT,TOTAL,NR,F,LI	12582 	12604 	12682 	12781 	12839 	12905 	12968 	13064 	13170 	13267 
A,NAT,TOTAL,NR,F,LT	1570481 	1554534 	1535286 	1517240 	1507800 	1501028 	1496615 	1488535 	1480495 	1474354 
A,NAT,TOTAL,NR,F,LU	154944 	156355 	157238 b	159467 	163722 	167376 	170248 	173216 	176276 	179697 
A,NAT,TOTAL,NR,F,LV	915456 	910648 	905305 	899920 	894562 	890337 	886026 	879303 	873077 	868277 
A,NAT,TOTAL,NR,F,MT	201051 	201289 	201580 	201822 	202012 	202161 	202346 	202458 	202973 	203157 
A,NAT,TOTAL,NR,F,NL	8099631 	8109182 	8121847 	8134492 	8147017 	8166390 	8191173 	8217436 	8232144 	8248690 
A,NAT,TOTAL,NR,F,NO	2334393 	2344347 	2354664 	2368524 	2375047 	2383632 	2396446 	2421749 	2440699 	2459127 
A,NAT,TOTAL,NR,F,PL	19557703 p	19523888 ep	19505634 ep	19493817 ep	19471577 	19436471 ep	18921182 ep	18836332 ep	18775396 ep	18712716 ep
A,NAT,TOTAL,NR,F,PT	5272148 	5263850 	5246572 	5235895 	5212883 	5191352 	5160606 	5144906 	5117735 	5060598 
A,NAT,TOTAL,NR,F,RO	10134344 	10077133 	10004901 	9941613 	9874060 	9822121 e	9766778 	: 	9708821 e	9709845 e
A,NAT,TOTAL,NR,F,SE	4525679 	4554393 	4590516 	4628194 	4662577 	4700938 	4740198 	4786740 	4828909 	4852748 
A,NAT,TOTAL,NR,F,SI	1006465 	1003560 	1000646 	996820 	994889 	992496 	991297 	988217 	984067 	980707 
A,NAT,TOTAL,NR,F,SK	2755476 	2755264 	2757413 	2759143 	2760616 	2762727 	2762223 	2751757 	2748143 	2745204 
A,NAT,TOTAL,NR,F,TR	38438339 	38889701 	39351737 	39806772 	40254419 	40680572 	: 	: 	41653729 	41830435 
A,NAT,TOTAL,NR,F,UK	30097819 	30189047 	30209408 	30263041 	30533961 	: 	: 	: 	: 	: 
A,NAT,TOTAL,NR,M,AT	3620008 	3619944 	3621435 	3622427 	3621380 	3620932 	3616157 	3612937 	3606051 	3598679 
A,NAT,TOTAL,NR,M,BE	4872850 	4884807 	4896413 	4911054 	4923373 	4939372 	4945805 	4960944 	4975630 	4992918 
A,NAT,TOTAL,NR,M,BG	3374852 	3322164 	3271558 	3219786 	3165048 	3108223 	3082002 	3085543 	3054556 	3032564 
A,NAT,TOTAL,NR,M,CH	3013838 	3035325 	3057210 	3078538 	3099622 	3118856 	3135662 	3154595 	3168225 	3182178 
A,NAT,TOTAL,NR,M,CY	342625 	345694 	348334 	351972 	357330 	360838 	361459 	363681 	360277 b	362686 
A,NAT,TOTAL,NR,M,CZ	4916129 	4915044 	4910209 	4927909 	4926424 	4934806 	4904075 b	4885831 	4882992 	4874500 
A,NAT,TOTAL,NR,M,DE	35955242 b	35909978 	35787654 	35696445 	35612690 	35540674 	35449739 	35344785 	34944976 b	34822770 
A,NAT,TOTAL,NR,M,DK	2600060 	2604096 	2614001 	2619585 	2622192 	2625199 	2632494 	2637859 	2637977 	2637476 
A,NAT,TOTAL,NR,M,EE	513980 b	515272 	516669 	519008 	521733 	524235 	524767 	525275 	525871 	525692 
A,NAT,TOTAL,NR,M,EL	4880619 	4852367 	4837438 	4816528 	4799531 	4768825 	4740864 	4735410 b	4708390 	4718852 
A,NAT,TOTAL,NR,M,ES	20548550 	20559800 	20592656 	20585938 	20581209 	20580494 	20534537 	20518579 	20522182 	20572893 
A,NAT,TOTAL,NR,M,EU27_2020	200944661 be	200710840 e	200514742 be	200196278 e	199980795 b	199753560 e	198857572 bep	198756359 ep	198131475 bep	197769827 ep
A,NAT,TOTAL,NR,M,FI	2575286 	2579138 	2581028 	2583840 	2583170 	2582233 	2581149 	2579867 	2574376 	2569972 
A,NAT,TOTAL,NR,M,FR	29946697 	29967580 	30002698 	29939795 	30031233 	30063207 	30134632 	30254646 	30283377 p	30197275 p
A,NAT,TOTAL,NR,M,HR	1999070 	1972750 	1944665 	1911331 	1891693 	1879072 	1860134 	1842034 b	1820361 	1804282 
A,NAT,TOTAL,NR,M,HU	4605673 	4590784 	4578622 	4565845 	4555246 	4546827 	4534757 	4513299 	4498718 	4481197 
A,NAT,TOTAL,NR,M,IE	2048865 	2066696 	2093325 	2114166 	2139940 	2161091 	2188748 	2221790 	2231795 	2243867 
A,NAT,TOTAL,NR,M,IS	152588 	153267 	154342 	155699 	156850 	157878 	159368 	161339 	162305 	160623 
A,NAT,TOTAL,NR,M,IT	26957361 	26915827 	26894436 	26818307 	26716910 b	26618418 	26341582 	26350754 	26297293 	26244078 
A,NAT,TOTAL,NR,M,LI	12205 	12243 	12333 	12392 	12482 	12580 	12620 	12717 	12873 	13027 
A,NAT,TOTAL,NR,M,LT	1334664 	1320765 	1303987 	1288978 	1283218 	1287331 	1294145 	1283153 	1278411 	1275492 
A,NAT,TOTAL,NR,M,LU	149335 	150719 	151932 b	154304 	158708 	162267 	165056 	168014 	171126 	174675 
A,NAT,TOTAL,NR,M,LV	772207 	769363 	765365 	761928 	758781 	756933 	754756 	751444 	748131 	745561 
A,NAT,TOTAL,NR,M,MT	198581 	199066 	199659 	200118 	200486 	200779 	201117 	201336 	201702 	201918 
A,NAT,TOTAL,NR,M,NL	7953826 	7969437 	7987362 	8005787 	8024287 	8048886 	8081277 	8116990 	8133796 	8150155 
A,NAT,TOTAL,NR,M,NO	2319255 	2331415 	2344435 	2359326 	2368932 	2379432 	2393356 	2417511 	2437401 	2457682 
A,NAT,TOTAL,NR,M,PL	18333348 p	18287788 ep	18251090 ep	18237789 ep	18211484 	18163428 ep	17701870 ep	17608919 ep	17539494 ep	17475192 ep
A,NAT,TOTAL,NR,M,PT	4756104 	4743743 	4727826 	4711932 	4678750 	4663556 	4637897 	4632864 	4613835 	4533730 
A,NAT,TOTAL,NR,M,RO	9647504 	9576217 	9524646 	9477515 	9419122 	9366639 e	9290267 	: 	9133261 e	9125073 e
A,NAT,TOTAL,NR,M,SE	4482241 	4513791 	4552688 	4594712 	4635342 	4686071 	4733774 	4784760 	4827391 	4854864 
A,NAT,TOTAL,NR,M,SI	954877 	952862 	950811 	948185 	947826 	947014 	949029 	946521 	943109 	939969 
A,NAT,TOTAL,NR,M,SK	2604107 	2605148 	2608235 	2611094 	2613689 	2616210 	2615483 	2619889 	2616397 	2613497 
A,NAT,TOTAL,NR,M,TR	38739286 	39201044 	39646724 	40084692 	40538429 	40943245 	: 	: 	41801988 	41971399 
A,NAT,TOTAL,NR,M,UK	29306621 	29506901 	29541920 	29704085 	29912970 	: 	: 	: 	: 	: 
A,NAT,TOTAL,NR,T,AT	7438848 	7432797 	7430935 	7426387 	7419852 	7414841 	7401592 	7392220 	7374952 	7357884 
A,NAT,TOTAL,NR,T,BE	9960371 	9977874 	9997952 	10022157 	10041769 	10069121 	10075908 	10102757 	10127198 	10159203 
A,NAT,TOTAL,NR,T,BG	6963308 	6863112 	6767835 	6668711 	6565004 	6457589 	6410333 	6417071 	6362447 	6322795 
A,NAT,TOTAL,NR,T,CH	6239207 	6278459 	6318404 	6357738 	6396252 	6430658 	6459512 	6494610 	6519362 	6544970 
A,NAT,TOTAL,NR,T,CY	694739 	701051 	706845 	713471 	720289 	727000 	730446 	734644 	729624 b	734380 
A,NAT,TOTAL,NR,T,CZ	10080950 	10077497 	10067977 	10094632 	10092342 	10107293 	10006304 b	9978470 	9972441 	9954995 
A,NAT,TOTAL,NR,T,DE	73657763 b	73523726 	73301664 	73113483 	72929921 	72768689 	72569978 	72344071 	71623366 b	71347057 
A,NAT,TOTAL,NR,T,DK	5237156 	5244104 	5263783 	5275198 	5280183 	5285641 	5300551 	5311172 	5311487 	5311255 
A,NAT,TOTAL,NR,T,EE	1117187 b	1117693 	1119146 	1121670 	1125290 	1128559 	1128816 	1128413 	1128387 	1127312 
A,NAT,TOTAL,NR,T,EL	10036049 	9985391 	9958159 	9925106 	9892907 	9812220 	9757147 	9711915 b	9649881 	9656873 
A,NAT,TOTAL,NR,T,ES	41971737 	41999550 	42079740 	42067748 	42068189 	42076772 	41998096 	41977709 	41995741 	42117413 
A,NAT,TOTAL,NR,T,EU27_2020	413247841 be	412714333 e	412331992 be	411596342 e	411079636 b	410508697 e	408583990 bep	408287841 ep	407021139 bep	406216013 ep
A,NAT,TOTAL,NR,T,FI	5252078 	5257543 	5259658 	5263678 	5260347 	5257663 	5254876 	5251777 	5240284 	5230878 
A,NAT,TOTAL,NR,T,FR	62026777 	62093598 	62204147 	62075507 	62248300 	62300046 	62426058 	62633664 	62648487 p	62438850 p
A,NAT,TOTAL,NR,T,HR	4155133 	4105450 	4053451 	3989351 	3944089 	3908418 	3866581 	3826213 b	3780514 	3746587 
A,NAT,TOTAL,NR,T,HU	9669890 	9623046 	9588725 	9551846 	9519499 	9489419 	9456970 	9407878 	9373477 	9333715 
A,NAT,TOTAL,NR,T,IE	4145431 	4180236 	4233335 	4272314 	4327732 	4371064 	4422652 	4496343 	4512304 	4533125 
A,NAT,TOTAL,NR,T,IS	304806 	306044 	308074 	310620 	312721 	314741 	317459 	321246 	322681 	320057 
A,NAT,TOTAL,NR,T,IT	55460252 	55332670 	55248101 	55054318 	54820515 b	54601851 	54064319 	53999417 	53855860 	53717572 
A,NAT,TOTAL,NR,T,LI	24787 	24847 	25015 	25173 	25321 	25485 	25588 	25781 	26043 	26294 
A,NAT,TOTAL,NR,T,LT	2905145 	2875299 	2839273 	2806218 	2791018 	2788359 	2790760 	2771688 	2758906 	2749846 
A,NAT,TOTAL,NR,T,LU	304279 	307074 	309170 b	313771 	322430 	329643 	335304 	341230 	347402 	354372 
A,NAT,TOTAL,NR,T,LV	1687663 	1680011 	1670670 	1661848 	1653343 	1647270 	1640782 	1630747 	1621208 	1613838 
A,NAT,TOTAL,NR,T,MT	399632 	400355 	401239 	401940 	402498 	402940 	403463 	403794 	404675 	405075 
A,NAT,TOTAL,NR,T,NL	16053457 	16078619 	16109209 	16140279 	16171304 	16215276 	16272450 	16334426 	16365940 	16398845 
A,NAT,TOTAL,NR,T,NO	4653648 	4675762 	4699099 	4727850 	4743979 	4763064 	4789802 	4839260 	4878100 	4916809 
A,NAT,TOTAL,NR,T,PL	37891051 p	37811676 ep	37756724 ep	37731606 ep	37683061 	37599899 ep	36623052 ep	36445251 ep	36314890 ep	36187908 ep
A,NAT,TOTAL,NR,T,PT	10028252 	10007593 	9974398 	9947827 	9891633 	9854908 	9798503 	9777770 	9731570 	9594328 
A,NAT,TOTAL,NR,T,RO	19781848 	19653350 	19529547 	19419128 	19293182 	19188760 e	19057045 	: 	18842082 e	18834918 e
A,NAT,TOTAL,NR,T,SE	9007920 	9068184 	9143204 	9222906 	9297919 	9387009 	9473972 	9571500 	9656300 	9707612 
A,NAT,TOTAL,NR,T,SI	1961342 	1956422 	1951457 	1945005 	1942715 	1939510 	1940326 	1934738 	1927176 	1920676 
A,NAT,TOTAL,NR,T,SK	5359583 	5360412 	5365648 	5370237 	5374305 	5378937 	5377706 	5371646 	5364540 	5358701 
A,NAT,TOTAL,NR,T,TR	77177625 	78090745 	78998461 	79891464 	80792848 	81623817 	: 	: 	83455717 	83801834 
A,NAT,TOTAL,NR,T,UK	59404440 	59695948 	59751328 	59967126 	60446931 	: 	: 	: 	: 	: 
A,NEU28_FOR,TOTAL,NR,F,AT	273598 	299346 	315126 	325235 	330709 	337247 	: 	: 	: 	: 
A,NEU28_FOR,TOTAL,NR,F,BE	207261 	217894 	222288 	227643 	236805 	246204 	: 	: 	: 	: 
A,NEU28_FOR,TOTAL,NR,F,CH	343734 	351194 	361105 	367181 	372459 	378428 	: 	: 	: 	: 
A,NEU28_FOR,TOTAL,NR,F,CY	23908 	19131 	18581 	20651 	22065 	24437 	: 	: 	: 	: 
A,NEU28_FOR,TOTAL,NR,F,CZ	124062 	128324 	138694 	137408 	148392 	153270 	: 	: 	: 	: 
A,NEU28_FOR,TOTAL,NR,F,DE	2040047 b	2287929 	2459780 	2588147 	2712507 	2836155 	: 	: 	: 	: 
A,NEU28_FOR,TOTAL,NR,F,DK	129157 	139621 	143129 	148448 	153342 	156011 	: 	: 	: 	: 
A,NEU28_FOR,TOTAL,NR,F,EE	91491 b	90689 	89321 	88156 	87654 	87493 	: 	: 	: 	: 
A,NEU28_FOR,TOTAL,NR,F,EL	308820 	294691 	293205 	285232 	283062 	340610 	: 	: 	: 	: 
A,NEU28_FOR,TOTAL,NR,F,ES	1254552 	1257713 	1270247 	1364400 	1493723 	1667537 	: 	: 	: 	: 
A,NEU28_FOR,TOTAL,NR,F,FI	62300 	64764 	68679 	70444 	73270 	77154 	: 	: 	: 	: 
A,NEU28_FOR,TOTAL,NR,F,FR	1467866 	1516288 	1526920 	1701255 	1741369 	1813020 	: 	: 	: 	: 
A,NEU28_FOR,TOTAL,NR,F,HR	8884 	8722 	8511 	8360 	8205 	8163 	: 	: 	: 	: 
A,NEU28_FOR,TOTAL,NR,F,HU	29917 	32931 	32720 	36869 	44363 	49189 	: 	: 	: 	: 
A,NEU28_FOR,TOTAL,NR,F,IE	58979 	61916 	70751 	79721 	90034 	103117 	: 	: 	: 	: 
